Date,Open,High,Low,Close,Adj Close,Volume
2013-04-05,183.618179,183.618179,179.090912,181.445450,141.477158,1869097
2013-04-08,181.272720,182.836365,179.472733,179.781815,140.179993,1163942
2013-04-09,181.272720,185.436356,178.836365,179.990906,140.343033,1691876
2013-04-10,181.436356,183.272720,178.581818,182.627274,142.398666,1738478
2013-04-11,185.699997,189.981812,185.699997,189.054550,147.410172,2343950
2013-04-12,186.909088,191.054550,186.445450,189.990906,148.140259,955740
2013-04-15,187.272720,194.281815,187.272720,190.472733,148.515945,1793599
2013-04-16,190.000000,197.090912,190.000000,196.199997,152.981628,1680321
2013-04-17,196.709091,201.863632,196.363632,199.536362,155.583069,1676999
2013-04-18,196.018188,205.127274,196.018188,204.127274,159.162704,1885740
2013-04-22,203.818176,210.727264,203.209091,208.718185,162.742340,2064105
2013-04-23,209.090912,212.727264,204.581818,211.218185,164.691666,2025396
2013-04-25,213.090912,215.790909,211.354538,214.081818,166.924484,2218275
2013-04-26,213.618179,216.000000,204.600006,208.054550,162.224884,4587417
2013-04-29,208.727264,210.836365,206.100006,209.518188,163.366119,1324734
2013-04-30,209.981812,212.727264,207.654541,211.481812,164.897202,1871462
2013-05-02,211.127274,215.772720,210.690903,213.054550,166.123520,1625607
2013-05-03,212.545456,212.909088,204.081818,205.454544,160.197617,2076133
2013-05-06,204.945450,208.818176,201.754547,208.081818,162.246140,1980808
2013-05-07,208.181824,213.081818,208.181824,211.590912,164.982254,1410166
2013-05-08,211.818176,213.800003,208.409088,210.554550,164.174194,1239567
2013-05-09,210.881821,211.818176,208.154541,209.563629,163.401550,1048590
2013-05-10,208.272720,212.699997,208.272720,212.018188,165.315445,1110647
2013-05-13,211.818176,213.899994,208.363632,209.100006,163.040054,992546
2013-05-14,209.190903,212.000000,207.581818,208.736359,162.756500,916739
2013-05-15,209.090912,217.881821,209.090912,216.663635,168.937607,2082134
2013-05-16,215.109085,221.454544,215.109085,219.163635,170.886887,1316627
2013-05-17,218.990906,224.300003,218.763641,223.381821,174.175903,1905584
2013-05-20,222.972733,224.345459,218.918182,219.754547,171.347656,1258894
2013-05-21,220.636368,224.363632,218.563629,220.000000,171.539017,1222544
2013-05-22,221.272720,222.899994,218.909088,220.018188,171.553207,1112995
2013-05-23,217.090912,219.245453,211.254547,213.354538,166.357407,1409192
2013-05-24,216.145447,219.981812,214.127274,218.909088,170.688446,1214690
2013-05-27,219.272720,222.727264,217.272720,221.636368,172.814957,1256061
2013-05-28,221.863632,224.890915,221.636368,224.136368,174.764236,1758921
2013-05-29,223.454544,224.018188,219.709091,221.036362,172.347107,987436
2013-05-30,217.581818,217.800003,213.127274,215.045456,184.357010,1661263
2013-05-31,214.909088,215.600006,208.909088,209.872726,179.922455,1541611
2013-06-03,209.090912,210.363632,206.300003,208.090912,178.394913,942804
2013-06-04,209.090912,212.081818,206.727264,207.290909,177.709091,1155653
2013-06-05,206.772720,208.027267,203.981812,206.236359,176.805038,2149509
2013-06-06,205.090912,211.090912,204.227264,209.745453,179.813354,1119084
2013-06-07,209.754547,210.481812,206.936356,207.536362,177.919525,944685
2013-06-10,208.818176,210.372726,201.818176,203.327271,174.311096,1301244
2013-06-11,201.927277,202.727264,195.154541,195.709091,167.780060,1697602
2013-06-12,195.254547,198.090912,193.672729,196.590912,168.536041,1561680
2013-06-13,193.681824,196.918182,193.681824,194.154541,166.447342,916316
2013-06-14,196.909088,200.800003,195.472733,200.290909,171.708038,1547331
2013-06-17,200.872726,201.272720,196.472733,200.263641,171.684647,1460029
2013-06-18,199.636368,199.818176,197.345459,198.363632,170.055786,1117362
2013-06-19,198.509094,198.509094,196.036362,197.536362,169.346573,836098
